frame,sign,prob
1.0,2.0,0.5192031860351562
2.0,1.0,0.3374444544315338
3.0,2.0,0.28388044238090515
5.0,2.0,0.37516090273857117
10.0,4.0,0.9023056030273438
11.0,5.0,0.7294410467147827
12.0,5.0,0.8968648910522461
13.0,5.0,0.9119334816932678
14.0,5.0,0.8719433546066284
15.0,5.0,0.7086997032165527
16.0,4.0,0.808040976524353
17.0,6.0,0.9524416327476501
18.0,6.0,0.9975631237030029
19.0,6.0,0.9984132051467896
20.0,6.0,0.9955636262893677
21.0,6.0,0.9974523186683655
22.0,6.0,0.9846218824386597
23.0,6.0,0.9816576242446899
24.0,6.0,0.9961953163146973
25.0,6.0,0.9976346492767334
26.0,4.0,0.9598488807678223
27.0,7.0,0.9675420522689819
28.0,7.0,0.9880205988883972
29.0,7.0,0.9911800026893616
30.0,7.0,0.9871814846992493
31.0,7.0,0.9901455044746399
32.0,7.0,0.9910509586334229
33.0,7.0,0.9904566407203674
34.0,7.0,0.9912742972373962
39.0,1.0,0.3463433086872101
40.0,1.0,0.5755391716957092
41.0,1.0,0.4712342619895935
